Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Age group (product.metafields.shopify.age-group),Boot type (product.metafields.shopify.boot-type),Closure type (product.metafields.shopify.closure-type),Color (product.metafields.shopify.color-pattern),Footwear material (product.metafields.shopify.footwear-material),Heel height type (product.metafields.shopify.heel-height-type),Inline skating style (product.metafields.shopify.inline-skating-style),Shell/Frame material (product.metafields.shopify.shell-frame-material),Shoe features (product.metafields.shopify.shoe-features),Shoe size (product.metafields.shopify.shoe-size),Sneaker style (product.metafields.shopify.sneaker-style),Target gender (product.metafields.shopify.target-gender),Toe style (product.metafields.shopify.toe-style),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
buy-green-fields-mens-green-fields-slip-on-formal-shoes-black-m10,Mens Green Fields Slip On Formal Shoes,"<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Leather-look, durable synthetic upper</li>
<li data-mce-fragment=""1"">Slightly cushioned footbed for comfort</li>
<li data-mce-fragment=""1"">Slip-on style with elasticated inserts</li>
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">Thin leather inner lining with a flexible outsole</span></li>
<li data-mce-fragment=""1"">Black Color</li>
<li data-mce-fragment=""1"">Brand <span data-mce-fragment=""1"">Green Fields </span>
</li>
</ul>",SPIC,Uncategorized,Shoes,"Apparel_Mens, B1G1, Brand-Green Fields, Category-Formal, Color_Black",true,Size,40,,,,,,,,M10-Black-40_AN_AN_AZ,0.0,shopify,1,deny,manual,70.00,140.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0082/8473/3506/products/GreenFields-Mens-Black-Formal-Side_b55f1e5c-839d-4770-b50b-4384c0d75721.jpg?v=1632136727,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,47.25,active
buy-green-fields-mens-green-fields-slip-on-formal-shoes-black-m10,,,,,,,,,41,,,,,,,,M10-Black-41_AN_AN_AZ,0.0,shopify,2,deny,manual,70.00,140.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0082/8473/3506/products/GreenFields-Mens-Black-Formal-Angle_a823b4e0-30b1-4751-95e2-ab57936f615c.jpg?v=1632136727,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,47.25,
buy-green-fields-mens-green-fields-slip-on-formal-shoes-black-m10,,,,,,,,,42,,,,,,,,M10-Black-42_AN_AN_AZ,0.0,shopify,4,deny,manual,70.00,140.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0082/8473/3506/products/GreenFields-Mens-Black-Formal-Top_d0f1aedc-cadf-48ea-b6bd-302f617d9528.jpg?v=1632136727,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,47.25,
buy-green-fields-mens-green-fields-slip-on-formal-shoes-black-m10,,,,,,,,,43,,,,,,,,M10-Black-43_AN_AN_AZ,0.0,shopify,1,deny,manual,70.00,140.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0082/8473/3506/products/GreenFields-Mens-Black-Formal-Style_e2be90b4-a886-4d11-801e-c3639973ca9b.jpg?v=1632136727,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,47.25,
buy-green-fields-mens-green-fields-slip-on-formal-shoes-black-m10,,,,,,,,,44,,,,,,,,M10-Black-44_AN_AN_AZ,0.0,shopify,2,deny,manual,70.00,140.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0082/8473/3506/products/GreenFields-Mens-Black-Formal-Back_3dea8318-2543-45a3-b0cc-c8288a3d5be3.jpg?v=1632136727,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,47.25,
buy-green-fields-mens-green-fields-slip-on-formal-shoes-black-m10,,,,,,,,,45,,,,,,,,M10-Black-45_AN_AN_AZ,0.0,shopify,0,deny,manual,70.00,140.00,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,47.25,
buy-green-fields-mens-green-fields-slip-on-formal-shoes-black-sw02,Mens Green Fields Slip On Formal Shoes,"<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Lightweight,<span data-mce-fragment=""1""> </span><span data-mce-fragment=""1"">Leather-look upper</span>
</li>
<li data-mce-fragment=""1"">Cushioned footbed for added comfort</li>
<li data-mce-fragment=""1"">Low-heel for added height and style</li>
<li data-mce-fragment=""1"">Black Color</li>
<li data-mce-fragment=""1"">Brand<span data-mce-fragment=""1""> <a href=""https://www.dhukkan.com/collections/mens-shoes-formals/brand-green-fields"" title=""Green Fields Formal shoes"">Green Fields</a></span>
</li>
<li data-mce-fragment=""1"">Slip-on<span> </span><a title=""Formal shoes"" href=""https://www.dhukkan.com/collections/mens-shoes-formals"">formal</a><span> </span>shoes  </li>
</ul>",SPIC,,Shoes,"Apparel_Mens, B1G1, Brand-Green Fields, Category-Formal, Color_Black, NOON",true,Size,40,,,,,,,,SW02-Black-40_AN,800.0,shopify,0,deny,manual,67.50,135.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0082/8473/3506/products/Highland-Formal-Black-Mens-Side_6b6eaf3f-b369-4183-9b1e-5f0c8a722c34.jpg?v=1609225973,1,"",false,Men's Green Fields Slip On Formal Shoes | Black comfortable Shoes ,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,47.25,active
buy-green-fields-mens-green-fields-slip-on-formal-shoes-black-sw02,,,,,,,,,41,,,,,,,,SW02-Black-41_AN,800.0,shopify,0,deny,manual,67.50,135.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0082/8473/3506/products/Highland-Formal-Black-Mens-Angle_bb37c4be-7083-44be-8271-d5f2f61e267a.jpg?v=1609225972,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,47.25,
buy-green-fields-mens-green-fields-slip-on-formal-shoes-black-sw02,,,,,,,,,42,,,,,,,,SW02-Black-42_AN,800.0,shopify,1,deny,manual,67.50,135.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0082/8473/3506/products/Highland-Formal-Black-Mens-Top_61bdbcc7-c3a5-4155-9b9a-f8c665f3beac.jpg?v=1609225972,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,47.25,
buy-green-fields-mens-green-fields-slip-on-formal-shoes-black-sw02,,,,,,,,,43,,,,,,,,SW02-Black-43_AN,800.0,shopify,1,deny,manual,67.50,135.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0082/8473/3506/products/Highland-Formal-Black-Mens-Style_4c24daea-1bd5-4e51-96c8-53e5409a943e.jpg?v=1609225973,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,47.25,
